# MOE 《重編國語辭典修訂本》 government-sourced four-character phrase lexicon. See README.md.
箔檢電器	ㄅㄛˊ ㄐㄧㄢˇ ㄉㄧㄢˋ ㄑㄧˋ
勃魯格爾	ㄅㄛˊ ㄌㄨˇ ㄍㄜˊ ㄦˇ
勃然變色	ㄅㄛˊ ㄖㄢˊ ㄅㄧㄢˋ ㄙㄜˋ
勃然大怒	ㄅㄛˊ ㄖㄢˊ ㄉㄚˋ ㄋㄨˋ
勃然作色	ㄅㄛˊ ㄖㄢˊ ㄗㄨㄛˋ ㄙㄜˋ
勃然色變	ㄅㄛˊ ㄖㄢˊ ㄙㄜˋ ㄅㄧㄢˋ
渤海海峽	ㄅㄛˊ ㄏㄞˇ ㄏㄞˇ ㄒㄧㄚˊ
渤海鎖鑰	ㄅㄛˊ ㄏㄞˇ ㄙㄨㄛˇ ㄧㄠˋ
博大精深	ㄅㄛˊ ㄉㄚˋ ㄐㄧㄥ ㄕㄣ
博覽古今	ㄅㄛˊ ㄌㄢˇ ㄍㄨˇ ㄐㄧㄣ
博覽群書	ㄅㄛˊ ㄌㄢˇ ㄑㄩㄣˊ ㄕㄨ
博覽五車	ㄅㄛˊ ㄌㄢˇ ㄨˇ ㄐㄩ
博浪飛椎	ㄅㄛˊ ㄌㄤˋ ㄈㄟ ㄔㄨㄟˊ
博古圖錄	ㄅㄛˊ ㄍㄨˇ ㄊㄨˊ ㄌㄨˋ
博古知今	ㄅㄛˊ ㄍㄨˇ ㄓ ㄐㄧㄣ
博濟醫院	ㄅㄛˊ ㄐㄧˋ ㄧ ㄩㄢˋ
博學多才	ㄅㄛˊ ㄒㄩㄝˊ ㄉㄨㄛ ㄘㄞˊ
博學多聞	ㄅㄛˊ ㄒㄩㄝˊ ㄉㄨㄛ ㄨㄣˊ
博學宏詞	ㄅㄛˊ ㄒㄩㄝˊ ㄏㄨㄥˊ ㄘˊ
博學鴻儒	ㄅㄛˊ ㄒㄩㄝˊ ㄏㄨㄥˊ ㄖㄨˊ
博學洽聞	ㄅㄛˊ ㄒㄩㄝˊ ㄑㄧㄚˋ ㄨㄣˊ
博施濟眾	ㄅㄛˊ ㄕ ㄐㄧˋ ㄓㄨㄥˋ
博士買驢	ㄅㄛˊ ㄕˋ ㄇㄞˇ ㄌㄩˊ
博士弟子	ㄅㄛˊ ㄕˋ ㄉㄧˋ ㄗˇ
博士學位	ㄅㄛˊ ㄕˋ ㄒㄩㄝˊ ㄨㄟˋ
博山香爐	ㄅㄛˊ ㄕㄢ ㄒㄧㄤ ㄌㄨˊ
博淄煤礦	ㄅㄛˊ ㄗ ㄇㄟˊ ㄎㄨㄤˋ
博斯騰湖	ㄅㄛˊ ㄙ ㄊㄥˊ ㄏㄨˊ
博愛濟群	ㄅㄛˊ ㄞˋ ㄐㄧˋ ㄑㄩㄣˊ
博而不精	ㄅㄛˊ ㄦˊ ㄅㄨˋ ㄐㄧㄥ
博物多聞	ㄅㄛˊ ㄨˋ ㄉㄨㄛ ㄨㄣˊ
博物洽聞	ㄅㄛˊ ㄨˋ ㄑㄧㄚˋ ㄨㄣˊ
博文約禮	ㄅㄛˊ ㄨㄣˊ ㄩㄝ ㄌㄧˇ
