# MOE 《成語典》 government-sourced idiom lexicon. See README.md.
戰戰兢兢	ㄓㄢˋ ㄓㄢˋ ㄐㄧㄥ ㄐㄧㄥ
瓜田李下	ㄍㄨㄚ ㄊㄧㄢˊ ㄌㄧˇ ㄒㄧㄚˋ
借花獻佛	ㄐㄧㄝˋ ㄏㄨㄚ ㄒㄧㄢˋ ㄈㄛˊ
故步自封	ㄍㄨˋ ㄅㄨˋ ㄗˋ ㄈㄥ
笑裡藏刀	ㄒㄧㄠˋ ㄌㄧˇ ㄘㄤˊ ㄉㄠ
望塵莫及	ㄨㄤˋ ㄔㄣˊ ㄇㄛˋ ㄐㄧˊ
水到渠成	ㄕㄨㄟˇ ㄉㄠˋ ㄑㄩˊ ㄔㄥˊ
半途而廢	ㄅㄢˋ ㄊㄨˊ ㄦˊ ㄈㄟˋ
一籌莫展	ㄧ ㄔㄡˊ ㄇㄛˋ ㄓㄢˇ
抱薪救火	ㄅㄠˋ ㄒㄧㄣ ㄐㄧㄡˋ ㄏㄨㄛˇ
大器晚成	ㄉㄚˋ ㄑㄧˋ ㄨㄢˇ ㄔㄥˊ
莫逆之交	ㄇㄛˋ ㄋㄧˋ ㄓ ㄐㄧㄠ
芒刺在背	ㄇㄤˊ ㄘˋ ㄗㄞˋ ㄅㄟˋ
按圖索驥	ㄢˋ ㄊㄨˊ ㄙㄨㄛˇ ㄐㄧˋ
強弩之末	ㄑㄧㄤˊ ㄋㄨˇ ㄓ ㄇㄛˋ
一網打盡	ㄧ ㄨㄤˇ ㄉㄚˇ ㄐㄧㄣˋ
蜀犬吠日	ㄕㄨˇ ㄑㄩㄢˇ ㄈㄟˋ ㄖˋ
曲突徙薪	ㄑㄩ ㄊㄨˊ ㄒㄧˇ ㄒㄧㄣ
矯枉過正	ㄐㄧㄠˇ ㄨㄤˇ ㄍㄨㄛˋ ㄓㄥˋ
吳牛喘月	ㄨˊ ㄋㄧㄡˊ ㄔㄨㄢˇ ㄩㄝˋ
居安思危	ㄐㄩ ㄢ ㄙ ㄨㄟˊ
賓至如歸	ㄅㄧㄣ ㄓˋ ㄖㄨˊ ㄍㄨㄟ
不恥下問	ㄅㄨˋ ㄔˇ ㄒㄧㄚˋ ㄨㄣˋ
不可救藥	ㄅㄨˋ ㄎㄜˇ ㄐㄧㄡˋ ㄧㄠˋ
河東獅吼	ㄏㄜˊ ㄉㄨㄥ ㄕ ㄏㄡˇ
開門見山	ㄎㄞ ㄇㄣˊ ㄐㄧㄢˋ ㄕㄢ
手舞足蹈	ㄕㄡˇ ㄨˇ ㄗㄨˊ ㄉㄠˋ
土崩瓦解	ㄊㄨˇ ㄅㄥ ㄨㄚˇ ㄐㄧㄝˇ
愛屋及烏	ㄞˋ ㄨ ㄐㄧˊ ㄨ
不脛而走	ㄅㄨˋ ㄐㄧㄥˋ ㄦˊ ㄗㄡˇ
大義滅親	ㄉㄚˋ ㄧˋ ㄇㄧㄝˋ ㄑㄧㄣ
東施效顰	ㄉㄨㄥ ㄕ ㄒㄧㄠˋ ㄆㄧㄣˊ
從善如流	ㄘㄨㄥˊ ㄕㄢˋ ㄖㄨˊ ㄌㄧㄡˊ
越俎代庖	ㄩㄝˋ ㄗㄨˇ ㄉㄞˋ ㄆㄠˊ
水滴石穿	ㄕㄨㄟˇ ㄉㄧ ㄕˊ ㄔㄨㄢ
袖手旁觀	ㄒㄧㄡˋ ㄕㄡˇ ㄆㄤˊ ㄍㄨㄢ
炙手可熱	ㄓˋ ㄕㄡˇ ㄎㄜˇ ㄖㄜˋ
因噎廢食	ㄧㄣ ㄧㄝ ㄈㄟˋ ㄕˊ
因勢利導	ㄧㄣ ㄕˋ ㄌㄧˋ ㄉㄠˇ
草菅人命	ㄘㄠˇ ㄐㄧㄢ ㄖㄣˊ ㄇㄧㄥˋ
排難解紛	ㄆㄞˊ ㄋㄢˋ ㄐㄧㄝˇ ㄈㄣ
畏首畏尾	ㄨㄟˋ ㄕㄡˇ ㄨㄟˋ ㄨㄟˇ
如魚得水	ㄖㄨˊ ㄩˊ ㄉㄜˊ ㄕㄨㄟˇ
流芳百世	ㄌㄧㄡˊ ㄈㄤ ㄅㄞˇ ㄕˋ
眾志成城	ㄓㄨㄥˋ ㄓˋ ㄔㄥˊ ㄔㄥˊ
管中窺豹	ㄍㄨㄢˇ ㄓㄨㄥ ㄎㄨㄟ ㄅㄠˋ
南柯一夢	ㄋㄢˊ ㄎㄜ ㄧ ㄇㄥˋ
名不虛傳	ㄇㄧㄥˊ ㄅㄨˋ ㄒㄩ ㄔㄨㄢˊ
束之高閣	ㄕㄨˋ ㄓ ㄍㄠ ㄍㄜˊ
喪心病狂	ㄙㄤˋ ㄒㄧㄣ ㄅㄧㄥˋ ㄎㄨㄤˊ
見異思遷	ㄐㄧㄢˋ ㄧˋ ㄙ ㄑㄧㄢ
明察秋毫	ㄇㄧㄥˊ ㄔㄚˊ ㄑㄧㄡ ㄏㄠˊ
忍辱負重	ㄖㄣˇ ㄖㄨˋ ㄈㄨˋ ㄓㄨㄥˋ
臥薪嘗膽	ㄨㄛˋ ㄒㄧㄣ ㄔㄤˊ ㄉㄢˇ
買櫝還珠	ㄇㄞˇ ㄉㄨˊ ㄏㄨㄢˊ ㄓㄨ
作威作福	ㄗㄨㄛˋ ㄨㄟ ㄗㄨㄛˋ ㄈㄨˊ
兩袖清風	ㄌㄧㄤˇ ㄒㄧㄡˋ ㄑㄧㄥ ㄈㄥ
明目張膽	ㄇㄧㄥˊ ㄇㄨˋ ㄓㄤ ㄉㄢˇ
肝膽相照	ㄍㄢ ㄉㄢˇ ㄒㄧㄤ ㄓㄠˋ
不求甚解	ㄅㄨˋ ㄑㄧㄡˊ ㄕㄣˋ ㄐㄧㄝˇ
青黃不接	ㄑㄧㄥ ㄏㄨㄤˊ ㄅㄨˋ ㄐㄧㄝ
民不聊生	ㄇㄧㄣˊ ㄅㄨˋ ㄌㄧㄠˊ ㄕㄥ
明哲保身	ㄇㄧㄥˊ ㄓㄜˊ ㄅㄠˇ ㄕㄣ
妄自菲薄	ㄨㄤˋ ㄗˋ ㄈㄟˇ ㄅㄛˊ
自慚形穢	ㄗˋ ㄘㄢˊ ㄒㄧㄥˊ ㄏㄨㄟˋ
泥牛入海	ㄋㄧˊ ㄋㄧㄡˊ ㄖㄨˋ ㄏㄞˇ
急如星火	ㄐㄧˊ ㄖㄨˊ ㄒㄧㄥ ㄏㄨㄛˇ
背道而馳	ㄅㄟˋ ㄉㄠˋ ㄦˊ ㄔˊ
休戚相關	ㄒㄧㄡ ㄑㄧ ㄒㄧㄤ ㄍㄨㄢ
同舟共濟	ㄊㄨㄥˊ ㄓㄡ ㄍㄨㄥˋ ㄐㄧˋ
披星戴月	ㄆㄧ ㄒㄧㄥ ㄉㄞˋ ㄩㄝˋ
相敬如賓	ㄒㄧㄤ ㄐㄧㄥˋ ㄖㄨˊ ㄅㄧㄣ
鶴立雞群	ㄏㄜˋ ㄌㄧˋ ㄐㄧ ㄑㄩㄣˊ
重整旗鼓	ㄔㄨㄥˊ ㄓㄥˇ ㄑㄧˊ ㄍㄨˇ
格格不入	ㄍㄜˊ ㄍㄜˊ ㄅㄨˋ ㄖㄨˋ
山窮水盡	ㄕㄢ ㄑㄩㄥˊ ㄕㄨㄟˇ ㄐㄧㄣˋ
脣亡齒寒	ㄔㄨㄣˊ ㄨㄤˊ ㄔˇ ㄏㄢˊ
功敗垂成	ㄍㄨㄥ ㄅㄞˋ ㄔㄨㄟˊ ㄔㄥˊ
旁若無人	ㄆㄤˊ ㄖㄨㄛˋ ㄨˊ ㄖㄣˊ
青梅竹馬	ㄑㄧㄥ ㄇㄟˊ ㄓㄨˊ ㄇㄚˇ
五體投地	ㄨˇ ㄊㄧˇ ㄊㄡˊ ㄉㄧˋ
文過飾非	ㄨㄣˋ ㄍㄨㄛˋ ㄕˋ ㄈㄟ
強詞奪理	ㄑㄧㄤˇ ㄘˊ ㄉㄨㄛˊ ㄌㄧˇ
投鞭斷流	ㄊㄡˊ ㄅㄧㄢ ㄉㄨㄢˋ ㄌㄧㄡˊ
天花亂墜	ㄊㄧㄢ ㄏㄨㄚ ㄌㄨㄢˋ ㄓㄨㄟˋ
不速之客	ㄅㄨˋ ㄙㄨˋ ㄓ ㄎㄜˋ
勢不兩立	ㄕˋ ㄅㄨˋ ㄌㄧㄤˇ ㄌㄧˋ
開誠布公	ㄎㄞ ㄔㄥˊ ㄅㄨˋ ㄍㄨㄥ
別出心裁	ㄅㄧㄝˊ ㄔㄨ ㄒㄧㄣ ㄘㄞˊ
大公無私	ㄉㄚˋ ㄍㄨㄥ ㄨˊ ㄙ
落井下石	ㄌㄨㄛˋ ㄐㄧㄥˇ ㄒㄧㄚˋ ㄕˊ
一絲不苟	ㄧ ㄙ ㄅㄨˋ ㄍㄡˇ
力不從心	ㄌㄧˋ ㄅㄨˋ ㄘㄨㄥˊ ㄒㄧㄣ
撲朔迷離	ㄆㄨ ㄕㄨㄛˋ ㄇㄧˊ ㄌㄧˊ
舉足輕重	ㄐㄩˇ ㄗㄨˊ ㄑㄧㄥ ㄓㄨㄥˋ
臨渴掘井	ㄌㄧㄣˊ ㄎㄜˇ ㄐㄩㄝˊ ㄐㄧㄥˇ
再接再厲	ㄗㄞˋ ㄐㄧㄝ ㄗㄞˋ ㄌㄧˋ
八面玲瓏	ㄅㄚ ㄇㄧㄢˋ ㄌㄧㄥˊ ㄌㄨㄥˊ
姍姍來遲	ㄕㄢ ㄕㄢ ㄌㄞˊ ㄔˊ
一揮而就	ㄧ ㄏㄨㄟ ㄦˊ ㄐㄧㄡˋ
明日黃花	ㄇㄧㄥˊ ㄖˋ ㄏㄨㄤˊ ㄏㄨㄚ
迎刃而解	ㄧㄥˊ ㄖㄣˋ ㄦˊ ㄐㄧㄝˇ
非驢非馬	ㄈㄟ ㄌㄩˊ ㄈㄟ ㄇㄚˇ
百發百中	ㄅㄞˇ ㄈㄚ ㄅㄞˇ ㄓㄨㄥˋ
罄竹難書	ㄑㄧㄥˋ ㄓㄨˊ ㄋㄢˊ ㄕㄨ
自作自受	ㄗˋ ㄗㄨㄛˋ ㄗˋ ㄕㄡˋ
自暴自棄	ㄗˋ ㄅㄠˋ ㄗˋ ㄑㄧˋ
一意孤行	ㄧ ㄧˋ ㄍㄨ ㄒㄧㄥˊ
汗牛充棟	ㄏㄢˋ ㄋㄧㄡˊ ㄔㄨㄥ ㄉㄨㄥˋ
仰人鼻息	ㄧㄤˇ ㄖㄣˊ ㄅㄧˊ ㄒㄧˊ
高枕無憂	ㄍㄠ ㄓㄣˇ ㄨˊ ㄧㄡ
家喻戶曉	ㄐㄧㄚ ㄩˋ ㄏㄨˋ ㄒㄧㄠˇ
安步當車	ㄢ ㄅㄨˋ ㄉㄤ ㄐㄩ
乳臭未乾	ㄖㄨˇ ㄒㄧㄡˋ ㄨㄟˋ ㄍㄢ
開門揖盜	ㄎㄞ ㄇㄣˊ ㄧ ㄉㄠˋ
危如累卵	ㄨㄟˊ ㄖㄨˊ ㄌㄟˇ ㄌㄨㄢˇ
一見如故	ㄧ ㄐㄧㄢˋ ㄖㄨˊ ㄍㄨˋ
得意忘形	ㄉㄜˊ ㄧˋ ㄨㄤˋ ㄒㄧㄥˊ
怒髮衝冠	ㄋㄨˋ ㄈㄚˇ ㄔㄨㄥ ㄍㄨㄢ
一塵不染	ㄧ ㄔㄣˊ ㄅㄨˋ ㄖㄢˇ
三令五申	ㄙㄢ ㄌㄧㄥˋ ㄨˇ ㄕㄣ
愚公移山	ㄩˊ ㄍㄨㄥ ㄧˊ ㄕㄢ
口蜜腹劍	ㄎㄡˇ ㄇㄧˋ ㄈㄨˋ ㄐㄧㄢˋ
短兵相接	ㄉㄨㄢˇ ㄅㄧㄥ ㄒㄧㄤ ㄐㄧㄝ
不寒而慄	ㄅㄨˋ ㄏㄢˊ ㄦˊ ㄌㄧˋ
別開生面	ㄅㄧㄝˊ ㄎㄞ ㄕㄥ ㄇㄧㄢˋ
枕戈待旦	ㄓㄣˋ ㄍㄜ ㄉㄞˋ ㄉㄢˋ
事半功倍	ㄕˋ ㄅㄢˋ ㄍㄨㄥ ㄅㄟˋ
數典忘祖	ㄕㄨˇ ㄉㄧㄢˇ ㄨㄤˋ ㄗㄨˇ
中流砥柱	ㄓㄨㄥ ㄌㄧㄡˊ ㄉㄧˇ ㄓㄨˋ
欲蓋彌彰	ㄩˋ ㄍㄞˋ ㄇㄧˊ ㄓㄤ
對症下藥	ㄉㄨㄟˋ ㄓㄥˋ ㄒㄧㄚˋ ㄧㄠˋ
按部就班	ㄢˋ ㄅㄨˋ ㄐㄧㄡˋ ㄅㄢ
錦上添花	ㄐㄧㄣˇ ㄕㄤˋ ㄊㄧㄢ ㄏㄨㄚ
尾大不掉	ㄨㄟˇ ㄉㄚˋ ㄅㄨˋ ㄉㄧㄠˋ
抱殘守缺	ㄅㄠˋ ㄘㄢˊ ㄕㄡˇ ㄑㄩㄝ
熟能生巧	ㄕㄡˊ ㄋㄥˊ ㄕㄥ ㄑㄧㄠˇ
鞭長莫及	ㄅㄧㄢ ㄔㄤˊ ㄇㄛˋ ㄐㄧˊ
開卷有益	ㄎㄞ ㄐㄩㄢˋ ㄧㄡˇ ㄧˋ
得隴望蜀	ㄉㄜˊ ㄌㄨㄥˇ ㄨㄤˋ ㄕㄨˇ
虎口餘生	ㄏㄨˇ ㄎㄡˇ ㄩˊ ㄕㄥ
沾沾自喜	ㄓㄢ ㄓㄢ ㄗˋ ㄒㄧˇ
