# Original phrase	original readings	reviewed phrase	reviewed readings
前邊	ㄑㄧㄢˊ ˙ㄅㄧㄢ	前邊	ㄑㄧㄢˊ ㄅㄧㄢ
認識	ㄖㄣˋ ˙ㄕ	認識	ㄖㄣˋ ㄕˋ
日期	ㄖˋ ㄑㄧ	日期	ㄖˋ ㄑㄧˊ
上邊	ㄕㄤˋ ˙ㄅㄧㄢ	上邊	ㄕㄤˋ ㄅㄧㄢ
身上	ㄕㄣ ˙ㄕㄤ	身上	ㄕㄣ ㄕㄤˋ
時候	ㄕˊ ˙ㄏㄡ	時候	ㄕˊ ㄏㄡˋ
生日	ㄕㄥ ˙ㄖ	生日	ㄕㄥ ㄖˋ
聽見	ㄊㄧㄥ ˙ㄐㄧㄢ	聽見	ㄊㄧㄥ ㄐㄧㄢˋ
外邊	ㄨㄞˋ ˙ㄅㄧㄢ	外邊	ㄨㄞˋ ㄅㄧㄢ
玩兒	ㄨㄢˊ ˙ㄦ	玩兒	ㄨㄢˊ ㄦˊ
晚上	ㄨㄢˇ ˙ㄕㄤ	晚上	ㄨㄢˇ ㄕㄤˋ
西邊	ㄒㄧ ˙ㄅㄧㄢ	西邊	ㄒㄧ ㄅㄧㄢ
喜歡	ㄒㄧˇ ˙ㄏㄨㄢ	喜歡	ㄒㄧˇ ㄏㄨㄢ
下邊	ㄒㄧㄚˋ ˙ㄅㄧㄢ	下邊	ㄒㄧㄚˋ ㄅㄧㄢ
先生	ㄒㄧㄢ ˙ㄕㄥ	先生	ㄒㄧㄢ ㄕㄥ
小孩兒	ㄒㄧㄠˇ ㄏㄞˊ ˙ㄦ	小孩兒	ㄒㄧㄠˇ ㄏㄞˊ ㄦˊ
小學生	ㄒㄧㄠˇ ㄒㄩㄝˊ ˙ㄕㄥ	小學生	ㄒㄧㄠˇ ㄒㄩㄝˊ ㄕㄥ
星期	ㄒㄧㄥ ㄑㄧ	星期	ㄒㄧㄥ ㄑㄧˊ
星期日	ㄒㄧㄥ ㄑㄧ ㄖˋ	星期日	ㄒㄧㄥ ㄑㄧˊ ㄖˋ
星期天	ㄒㄧㄥ ㄑㄧ ㄊㄧㄢ	星期天	ㄒㄧㄥ ㄑㄧˊ ㄊㄧㄢ
休息	ㄒㄧㄡ ˙ㄒㄧ	休息	ㄒㄧㄡ ㄒㄧˊ
學生	ㄒㄩㄝˊ ˙ㄕㄥ	學生	ㄒㄩㄝˊ ㄕㄥ
爺爺	ㄧㄝˊ ˙ㄧㄝ	爺爺	ㄧㄝˊ ㄧㄝˊ
衣服	ㄧ ˙ㄈㄨ	衣服	ㄧ ㄈㄨˊ
一會兒	ㄧ ㄏㄨㄟˋ ˙ㄦ	一會兒	ㄧ ㄏㄨㄟˋ ㄦˊ
一塊兒	ㄧ ㄎㄨㄞˋ ˙ㄦ	一塊兒	ㄧ ㄎㄨㄞˋ ㄦˊ
一下兒	ㄧ ㄒㄧㄚˋ ˙ㄦ	一下兒	ㄧ ㄒㄧㄚˋ ㄦˊ
一點兒	ㄧ ㄉㄧㄢˇ ˙ㄦ	一點兒	ㄧ ㄉㄧㄢˇ ㄦˊ
有時候	ㄧㄡˇ ㄕˊ ˙ㄏㄡ	有時候	ㄧㄡˇ ㄕˊ ㄏㄡˋ
右邊	ㄧㄡˋ ˙ㄅㄧㄢ	右邊	ㄧㄡˋ ㄅㄧㄢ
早上	ㄗㄠˇ ˙ㄕㄤ	早上	ㄗㄠˇ ㄕㄤˋ
這兒	ㄓㄜˋ ˙ㄦ	這兒	ㄓㄜˋ ㄦˊ
知道	ㄓ ˙ㄉㄠ	知道	ㄓ ㄉㄠˋ
知識	ㄓ ˙ㄕ	知識	ㄓ ㄕˋ
左邊	ㄗㄨㄛˇ ˙ㄅㄧㄢ	左邊	ㄗㄨㄛˇ ㄅㄧㄢ
愛人	ㄞˋ ˙ㄖㄣ	愛人	ㄞˋ ㄖㄣˊ
不好意思	ㄅㄨˋ ㄏㄠˇ ㄧˋ ˙ㄙ	不好意思	ㄅㄨˋ ㄏㄠˇ ㄧˋ ㄙ
不一會兒	ㄅㄨˋ ㄧ ㄏㄨㄟˇ ˙ㄦ	不一會兒	ㄅㄨˋ ㄧ ㄏㄨㄟˋ ㄦˊ
部分	ㄅㄨˋ ˙ㄈㄣ	部分	ㄅㄨˋ ㄈㄣˋ
差不多	ㄔㄚˋ ˙ㄅㄨ ㄉㄨㄛ	差不多	ㄔㄚ ㄅㄨˋ ㄉㄨㄛ
成績	ㄔㄥˊ ㄐㄧˋ	成績	ㄔㄥˊ ㄐㄧ
答應	ㄉㄚ ˙ㄧㄥ	答應	ㄉㄚ ㄧㄥˋ
打算	ㄉㄚˇ ˙ㄙㄨㄢ	打算	ㄉㄚˇ ㄙㄨㄢˋ
大部分	ㄉㄚˋ ㄅㄨˋ ˙ㄈㄣ	大部分	ㄉㄚˋ ㄅㄨˋ ㄈㄣˋ
大大	ㄉㄚˋ ˙ㄉㄚ	大大	ㄉㄚˋ ㄉㄚˋ
大海	ㄉㄚˇ ㄏㄞˇ	大海	ㄉㄚˋ ㄏㄞˇ
大人	ㄉㄚˋ ˙ㄖㄣ	大人	ㄉㄚˋ ㄖㄣˊ
道理	ㄉㄠˋ ˙ㄌㄧ	道理	ㄉㄠˋ ㄌㄧˇ
方向	ㄈㄤ ˙ㄒㄧㄤ	方向	ㄈㄤ ㄒㄧㄤˋ
幹活兒	ㄍㄢˋ ㄏㄨㄛˊ ˙ㄦ	幹活兒	ㄍㄢˋ ㄏㄨㄛˊ ㄦˊ
故事	ㄍㄨˋ ˙ㄕ	故事	ㄍㄨˋ ㄕˋ
過來	ㄍㄨㄛˋ ˙ㄌㄞ	過來	ㄍㄨㄛˋ ㄌㄞˊ
過年	ㄍㄨㄛˋ ˙ㄋㄧㄢ	過年	ㄍㄨㄛˋ ㄋㄧㄢˊ
過去	ㄍㄨㄛˋ ˙ㄑㄩ	過去	ㄍㄨㄛˋ ㄑㄩˋ
好處	ㄏㄠˇ ˙ㄔㄨ	好處	ㄏㄠˇ ㄔㄨˋ
畫兒	ㄏㄨㄚˋ ˙ㄦ	畫兒	ㄏㄨㄚˋ ㄦˊ
壞處	ㄏㄨㄞˋ ˙ㄔㄨ	壞處	ㄏㄨㄞˋ ㄔㄨˋ
活動	ㄏㄨㄛˊ ˙ㄉㄨㄥ	活動	ㄏㄨㄛˊ ㄉㄨㄥˋ
機會	ㄐㄧ ˙ㄏㄨㄟ	機會	ㄐㄧ ㄏㄨㄟˋ
假期	ㄐㄧㄚˋ ㄑㄧ	假期	ㄐㄧㄚˋ ㄑㄧˊ
交朋友	ㄐㄧㄠ ㄆㄥˊ ˙ㄧㄡ	交朋友	ㄐㄧㄠ ㄆㄥˊ ㄧㄡˇ
看法	ㄎㄢˋ ˙ㄈㄚ	看法	ㄎㄢˋ ㄈㄚˇ
快點兒	ㄎㄨㄞˋ ㄉㄧㄢˇ ˙ㄦ	快點兒	ㄎㄨㄞˋ ㄉㄧㄢˇ ㄦˊ
客人	ㄎㄜˋ ˙ㄖㄣ	客人	ㄎㄜˋ ㄖㄣˊ
老朋友	ㄌㄠˇ ㄆㄥˊ ˙ㄧㄡ	老朋友	ㄌㄠˇ ㄆㄥˊ ㄧㄡˇ
老是	ㄌㄠˇ ˙ㄕ	老是	ㄌㄠˇ ㄕˋ
涼快	ㄌㄧㄤˊ ˙ㄎㄨㄞ	涼快	ㄌㄧㄤˊ ㄎㄨㄞˋ
那會兒	ㄋㄚˋ ㄏㄨㄟˋ ˙ㄦ	那會兒	ㄋㄚˋ ㄏㄨㄟˋ ㄦˊ
那時候	ㄋㄚˋ ㄕˊ ˙ㄏㄡ	那時候	ㄋㄚˋ ㄕˊ ㄏㄡˋ
碰見	ㄆㄥˋ ˙ㄐㄧㄢ	碰見	ㄆㄥˋ ㄐㄧㄢˋ
平安	ㄆㄧㄣˊ ㄍㄢ	平安	ㄆㄧㄥˊ ㄢ
漂亮	ㄆㄧㄠˋ ˙ㄌㄧㄤ	漂亮	ㄆㄧㄠˋ ㄌㄧㄤˋ
清楚	ㄑㄧㄥ ˙ㄔㄨ	清楚	ㄑㄧㄥ ㄔㄨˇ
商量	ㄕㄤ ˙ㄌㄧㄤ	商量	ㄕㄤ ㄌㄧㄤˊ
實在	ㄕˊ ˙ㄗㄞ	實在	ㄕˊ ㄗㄞˋ
事情	ㄕˋ ˙ㄑㄧㄥ	事情	ㄕˋ ㄑㄧㄥˊ
舒服	ㄕㄨ ˙ㄈㄨ	舒服	ㄕㄨ ㄈㄨˊ
太太	ㄊㄞˋ ˙ㄊㄞ	太太	ㄊㄞˋ ㄊㄞˋ
態度	ㄊㄞˋ ˙ㄉㄨ	態度	ㄊㄞˋ ㄉㄨˋ
天上	ㄊㄧㄢ ˙ㄕㄤ	天上	ㄊㄧㄢ ㄕㄤˋ
頭髮	ㄊㄡˊ ˙ㄈㄚ	頭髮	ㄊㄡˊ ㄈㄚˇ
晚安	ㄨㄚˇ ㄋㄢ	晚安	ㄨㄢˇ ㄢ
味道	ㄨㄟˋ ˙ㄉㄠ	味道	ㄨㄟˋ ㄉㄠˋ
想法	ㄒㄧㄤˇ ˙ㄈㄚ	想法	ㄒㄧㄤˇ ㄈㄚˇ
小時候	ㄒㄧㄠˇ ㄕˊ ˙ㄏㄡ	小時候	ㄒㄧㄠˇ ㄕˊ ㄏㄡˋ
小心	ㄒㄧㄠˇ ˙ㄒㄧㄣ	小心	ㄒㄧㄠˇ ㄒㄧㄣ
笑話兒	ㄒㄧㄠˋ ˙ㄏㄨㄚ ˙ㄦ	笑話兒	ㄒㄧㄠˋ ㄏㄨㄚˋ ㄦˊ
笑話	ㄒㄧㄠˋ ˙ㄏㄨㄚ	笑話	ㄒㄧㄠˋ ㄏㄨㄚˋ
心裡	ㄒㄧㄣ ˙ㄌㄧ	心裡	ㄒㄧㄣ ㄌㄧˇ
信息	ㄒㄧㄣˋ ㄒㄧ	信息	ㄒㄧㄣˋ ㄒㄧˊ
星星	ㄒㄧㄥ ˙ㄒㄧㄥ	星星	ㄒㄧㄥ ㄒㄧㄥ
學期	ㄒㄩㄝˊ ㄑㄧ	學期	ㄒㄩㄝˊ ㄑㄧˊ
眼睛	ㄧㄢˇ ˙ㄐㄧㄥ	眼睛	ㄧㄢˇ ㄐㄧㄥ
夜裡	ㄧㄝˋ ˙ㄌㄧ	夜裡	ㄧㄝˋ ㄌㄧˇ
一部分	ㄧ ㄅㄨˋ ˙ㄈㄣ	一部分	ㄧ ㄅㄨˋ ㄈㄣˋ
因為	ㄧㄣ ˙ㄨㄟ	因為	ㄧㄣ ㄨㄟˋ
意見	ㄧˋ ˙ㄐㄧㄢ	意見	ㄧˋ ㄐㄧㄢˋ
意思	ㄧˋ ˙ㄙ	意思	ㄧˋ ㄙ
有空兒	ㄧㄡˇ ㄎㄨㄥˋ ˙ㄦ	有空兒	ㄧㄡˇ ㄎㄨㄥˋ ㄦˊ
有點兒	ㄧㄡˇ ㄉㄧㄢˇ ˙ㄦ	有點兒	ㄧㄡˇ ㄉㄧㄢˇ ㄦˊ
有意思	ㄧㄡˇ ㄧˋ ˙ㄙ	有意思	ㄧㄡˇ ㄧˋ ㄙ
願意	ㄩㄢˋ ˙ㄧ	願意	ㄩㄢˋ ㄧˋ
月亮	ㄩㄝˋ ˙ㄌㄧㄤ	月亮	ㄩㄝˋ ㄌㄧㄤˋ
運動	ㄩㄣˋ ˙ㄉㄨㄥ	運動	ㄩㄣˋ ㄉㄨㄥˋ
早晨	ㄗㄠˇ ˙ㄔㄣ	早晨	ㄗㄠˇ ㄔㄣˊ
照顧	ㄓㄠˋ ˙ㄍㄨ	照顧	ㄓㄠˋ ㄍㄨˋ
